symbol,date,order_type,side,fees,quantity,average_price
QQQ,2021-07-20T20:04:28.880162Z,market,buy,0.00,0.00279000,358.42290000
VOO,2021-07-20T14:39:35.942602Z,market,buy,0.00,0.25351100,394.46020000
QQQ,2021-07-19T17:32:33.213000Z,market,buy,0.00,0.01419400,352.26150000
NVDA,2021-07-16T18:36:50.047573Z,market,buy,0.00,0.13657000,732.22520000
NVDA,2021-07-16T13:31:59.186902Z,market,buy,0.00,0.13061200,765.62640000
NVDA,2021-07-16T13:30:05.858238Z,market,buy,0.00,0.13143200,760.84970000
NVDA,2021-07-14T20:54:18.772722Z,market,buy,0.00,0.18888100,794.15080000
CAT,2021-07-12T13:30:08.660565Z,market,buy,0.00,0.02312700,216.19750000
TQQQ,2021-07-12T13:30:08.163290Z,market,buy,0.00,0.76341700,130.99000000
AMD,2021-07-09T14:14:14.810726Z,market,buy,0.00,1.12346900,89.01000000
QQQ,2021-07-09T13:30:03.578730Z,market,buy,0.00,0.27922000,358.14050000
AMD,2021-07-09T13:30:03.642602Z,market,buy,0.00,1.11110300,90.00070000
NVDA,2021-07-09T13:30:03.665537Z,market,buy,0.00,0.12520300,798.70290000
QQQ,2021-07-08T14:41:04.101899Z,market,buy,0.00,0.28104400,355.81620000
TQQQ,2021-07-06T21:00:44.456625Z,market,buy,0.00,0.93691400,128.08010000
UPRO,2021-07-06T20:40:14.627156Z,market,buy,0.00,0.08560900,116.81010000
UDOW,2021-07-06T20:39:19.436440Z,market,buy,0.00,0.13638800,73.32020000
DIA,2021-07-06T20:33:48.597868Z,market,sell,0.00,0.43449900,345.22520000
AMZN,2021-07-06T18:00:43.206587Z,market,buy,0.00,0.15520800,3672.49110000
CAT,2021-07-06T17:59:54.427683Z,market,sell,0.00,2.34879200,213.13510000
CAT,2021-07-06T15:37:08.635732Z,market,buy,0.00,1.92705300,212.76010000
DIA,2021-07-06T15:36:02.124222Z,market,sell,0.00,1.30602300,344.55750000
CAT,2021-07-06T15:22:23.891113Z,market,buy,0.00,0.04713300,212.16560000
CAT,2021-07-06T14:47:42.554799Z,market,buy,0.00,0.18832300,212.40100000
CAT,2021-07-06T14:30:40.939627Z,market,buy,0.00,0.04685400,213.42890000
CAT,2021-07-06T14:17:01.795438Z,market,buy,0.00,0.04672800,214.00450000
CAT,2021-07-06T14:16:50.262006Z,market,buy,0.00,0.04671800,214.05030000
DIA,2021-07-06T13:27:35.664195Z,market,buy,0.00,1.40911000,347.73720000
CAT,2021-07-06T13:30:17.538004Z,market,buy,0.00,0.04598300,217.47170000
DIA,2021-07-06T13:30:04.497263Z,market,sell,0.00,0.28758700,347.72090000
AXP,2021-07-01T21:52:02.376041Z,market,buy,0.00,2.94434400,167.10000000
AXP,2021-07-01T21:50:34.876882Z,market,buy,0.00,0.05391300,166.93560000
DIA,2021-07-01T16:23:53.799779Z,market,buy,0.00,0.43395800,345.65560000
QQQ,2021-07-01T16:23:08.481631Z,market,sell,0.00,0.16963700,353.69640000
TQQQ,2021-07-01T16:22:45.987702Z,market,sell,0.00,0.81155900,121.63010000
AMD,2021-07-01T16:08:55.650439Z,market,buy,0.00,6.12380300,92.58950000
PYPL,2021-07-01T16:08:33.629212Z,market,sell,0.01,1.97554200,287.00980000
PYPL,2021-07-01T16:04:53.465537Z,market,buy,0.00,2.50808100,287.07210000
AMD,2021-07-01T16:04:35.590416Z,market,sell,0.01,7.79347200,92.38500000
PYPL,2021-07-01T15:53:07.099688Z,market,buy,0.00,0.87009400,287.32530000
ADBE,2021-07-01T15:51:57.892821Z,market,sell,0.00,0.15444200,582.74300000
INTC,2021-07-01T15:50:40.548869Z,market,sell,0.00,2.80564600,56.31500000
AMD,2021-07-01T15:48:47.761742Z,market,buy,0.00,7.47992100,92.24700000
DIA,2021-07-01T15:48:10.491372Z,market,sell,0.01,1.99861000,345.74030000
AMD,2021-07-01T15:30:33.461392Z,market,buy,0.00,1.95780000,91.93990000
COIN,2021-07-01T15:29:45.798936Z,market,sell,0.00,0.40061300,244.62510000
AMD,2021-06-29T20:56:10.671478Z,market,buy,0.00,0.66777900,89.85010000
TQQQ,2021-06-29T18:53:38.975078Z,market,buy,0.00,1.55241600,122.38990000
QQQ,2021-06-29T13:20:55.993000Z,market,buy,0.00,3.00000000,353.31000000
TQQQ,2021-06-29T13:30:05.451278Z,market,buy,0.00,0.08226300,121.56130000
PSQ,2021-06-29T13:30:02.034189Z,market,buy,0.00,0.80433900,12.43260000
PYPL,2021-06-29T13:30:01.397368Z,market,buy,0.00,0.34134100,292.96220000
ADBE,2021-06-28T15:45:13.266357Z,market,buy,0.00,0.17034000,587.06120000
NVDA,2021-06-23T13:57:04.602453Z,market,buy,0.00,0.45419200,759.59070000
BLCN,2021-06-23T13:56:30.407016Z,market,sell,0.00,1.82579700,46.55500000
LEGR,2021-06-23T13:55:46.463502Z,market,sell,0.00,4.49610000,42.25880000
BLOK,2021-06-23T13:55:06.388931Z,market,sell,0.00,1.69075800,45.54170000
COIN,2021-06-23T13:52:31.868767Z,market,sell,0.00,0.28169600,227.19530000
NVDA,2021-06-23T13:44:10.972000Z,market,buy,0.00,2.00000000,760.86500000
COIN,2021-06-23T13:43:42.556051Z,market,sell,0.00,0.44290900,225.78000000
NVDA,2021-06-21T13:18:00.858911Z,market,buy,0.00,0.54169700,738.42020000
DIA,2021-06-17T16:00:00.993000Z,limit,buy,0.00,1.00000000,337.90000000
DIA,2021-06-17T14:08:33.858000Z,limit,buy,0.00,1.00000000,339.00000000
AMD,2021-06-14T13:38:21.235000Z,limit,buy,0.00,3.00000000,80.50000000
INTC,2021-06-14T13:35:49.095000Z,limit,buy,0.00,3.00000000,57.50000000
NVDA,2021-06-09T14:01:01.126000Z,limit,buy,0.00,1.00000000,691.00000000
DIA,2021-06-04T13:30:01.540099Z,market,buy,0.00,0.28810100,347.10050000
LEGR,2021-06-01T13:33:51.885910Z,market,buy,0.00,0.69946300,42.89000000
LEGR,2021-06-01T13:30:10.141565Z,market,buy,0.00,0.23334300,42.85540000
LEGR,2021-06-01T13:30:06.429366Z,market,buy,0.00,1.16695100,42.84670000
LEGR,2021-06-01T13:30:06.429273Z,market,buy,0.00,0.23334300,42.85540000
COIN,2021-06-01T13:30:10.178576Z,market,buy,0.00,0.04186300,238.87440000
COIN,2021-05-17T13:30:04.288454Z,market,buy,0.00,0.64000000,250.00000000
COIN,2021-05-17T13:30:04.285838Z,market,buy,0.00,0.16000000,250.00000000
OPK,2021-04-29T13:30:02.603000Z,market,sell,0.00,1.00000000,4.15000000
COIN,2021-04-27T13:30:03.620431Z,market,buy,0.00,0.32604900,306.70240000
LEGR,2021-04-26T13:30:10.522366Z,market,buy,0.00,2.40975400,41.49800000
BLCN,2021-04-26T13:30:15.345409Z,market,buy,0.00,2.05507600,48.66000000
BLOK,2021-04-26T13:30:07.583490Z,market,buy,0.00,1.92975600,51.82000000
